session_id,type,technique_id,technique_name,atomic_test_numbers,window_start,window_end,ruleset_phase,operator_context,defender_realtime_off,notes
20260806-061240-attack-r5,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 06:12:40,2026-08-06 06:12:50,baseline,atomic-red-team,TRUE,"SUPERSEDED - NO TELEMETRY BEHIND THIS WINDOW. The endpoint agent lost its key during the 05:01 snapshot/reboot cycle and sat in an enrollment loop until 06:38 (wazuh-authd repeatedly rejecting 'Duplicate name win-endpoint, Agent cannot be replaced since it is not disconnected'). alerts.log and alerts.json both stop dead at 05:01, so no events exist for this window. agent_control reported 'Active' throughout because that reflects keepalives only, not event delivery. Recovery briefly re-enrolled the agent as DESKTOP-2VJPE09 rather than win-endpoint, which would have failed the labelling rule silently. Pipeline proven end to end at 06:39:54 (rule 100200, agent win-endpoint, agent ID now 005). Re-detonated after that."
20260806-061818-benign-r1,benign,T1082,System Information Discovery,,2026-08-06 06:18:18,2026-08-06 06:18:39,baseline,interactive-admin,TRUE,"SUPERSEDED - NO TELEMETRY BEHIND THIS WINDOW. The endpoint agent lost its key during the 05:01 snapshot/reboot cycle and sat in an enrollment loop until 06:38 (wazuh-authd repeatedly rejecting 'Duplicate name win-endpoint, Agent cannot be replaced since it is not disconnected'). alerts.log and alerts.json both stop dead at 05:01, so no events exist for this window. agent_control reported 'Active' throughout because that reflects keepalives only, not event delivery. Recovery briefly re-enrolled the agent as DESKTOP-2VJPE09 rather than win-endpoint, which would have failed the labelling rule silently. Pipeline proven end to end at 06:39:54 (rule 100200, agent win-endpoint, agent ID now 005). Re-detonated after that."
20260806-061959-benign-r2,benign,T1082,System Information Discovery,,2026-08-06 06:19:59,2026-08-06 06:20:23,baseline,interactive-admin,TRUE,"SUPERSEDED - NO TELEMETRY BEHIND THIS WINDOW. The endpoint agent lost its key during the 05:01 snapshot/reboot cycle and sat in an enrollment loop until 06:38 (wazuh-authd repeatedly rejecting 'Duplicate name win-endpoint, Agent cannot be replaced since it is not disconnected'). alerts.log and alerts.json both stop dead at 05:01, so no events exist for this window. agent_control reported 'Active' throughout because that reflects keepalives only, not event delivery. Recovery briefly re-enrolled the agent as DESKTOP-2VJPE09 rather than win-endpoint, which would have failed the labelling rule silently. Pipeline proven end to end at 06:39:54 (rule 100200, agent win-endpoint, agent ID now 005). Re-detonated after that."
20260806-062155-benign-r3,benign,T1082,System Information Discovery,,2026-08-06 06:21:55,2026-08-06 06:22:06,baseline,interactive-admin,TRUE,"SUPERSEDED - NO TELEMETRY BEHIND THIS WINDOW. The endpoint agent lost its key during the 05:01 snapshot/reboot cycle and sat in an enrollment loop until 06:38 (wazuh-authd repeatedly rejecting 'Duplicate name win-endpoint, Agent cannot be replaced since it is not disconnected'). alerts.log and alerts.json both stop dead at 05:01, so no events exist for this window. agent_control reported 'Active' throughout because that reflects keepalives only, not event delivery. Recovery briefly re-enrolled the agent as DESKTOP-2VJPE09 rather than win-endpoint, which would have failed the labelling rule silently. Pipeline proven end to end at 06:39:54 (rule 100200, agent win-endpoint, agent ID now 005). Re-detonated after that."
20260806-062254-benign-r4,benign,T1082,System Information Discovery,,2026-08-06 06:22:54,2026-08-06 06:23:03,baseline,interactive-admin,TRUE,"SUPERSEDED - NO TELEMETRY BEHIND THIS WINDOW. The endpoint agent lost its key during the 05:01 snapshot/reboot cycle and sat in an enrollment loop until 06:38 (wazuh-authd repeatedly rejecting 'Duplicate name win-endpoint, Agent cannot be replaced since it is not disconnected'). alerts.log and alerts.json both stop dead at 05:01, so no events exist for this window. agent_control reported 'Active' throughout because that reflects keepalives only, not event delivery. Recovery briefly re-enrolled the agent as DESKTOP-2VJPE09 rather than win-endpoint, which would have failed the labelling rule silently. Pipeline proven end to end at 06:39:54 (rule 100200, agent win-endpoint, agent ID now 005). Re-detonated after that."
20260806-062423-benign-r5,benign,T1082,System Information Discovery,,2026-08-06 06:24:23,2026-08-06 06:24:47,baseline,interactive-admin,TRUE,"SUPERSEDED - NO TELEMETRY BEHIND THIS WINDOW. The endpoint agent lost its key during the 05:01 snapshot/reboot cycle and sat in an enrollment loop until 06:38 (wazuh-authd repeatedly rejecting 'Duplicate name win-endpoint, Agent cannot be replaced since it is not disconnected'). alerts.log and alerts.json both stop dead at 05:01, so no events exist for this window. agent_control reported 'Active' throughout because that reflects keepalives only, not event delivery. Recovery briefly re-enrolled the agent as DESKTOP-2VJPE09 rather than win-endpoint, which would have failed the labelling rule silently. Pipeline proven end to end at 06:39:54 (rule 100200, agent win-endpoint, agent ID now 005). Re-detonated after that."
20260806-064344-attack-r1,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 06:43:44,2026-08-06 06:45:58,baseline,atomic-red-team,TRUE,"CLEAN - first fully valid T1082 attack window. Clock synced both hosts, agent 005 win-endpoint Active, pipeline proven end to end at 06:39:54. Test 28 excluded. Duration 2m14s here vs 10-63s for r2-r5: WMI latency under host memory pressure (endpoint has 3GB RAM, ~1GB free), NOT a hung test - record as a limitation on window-duration variance."
20260806-064706-attack-r2,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 06:47:06,2026-08-06 06:47:16,baseline,atomic-red-team,TRUE,CLEAN.
20260806-064816-attack-r3,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 06:48:16,2026-08-06 06:49:19,baseline,atomic-red-team,TRUE,CLEAN. 63s - WMI latency again.
20260806-065039-attack-r4,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 06:50:39,2026-08-06 06:50:50,baseline,atomic-red-team,TRUE,CLEAN.
20260806-065244-attack-r5,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 06:52:44,2026-08-06 06:52:58,baseline,atomic-red-team,TRUE,CLEAN.
20260806-065514-benign-r1,benign,T1082,System Information Discovery,,2026-08-06 06:55:14,2026-08-06 06:55:39,baseline,interactive-admin,TRUE,"SUPERSEDED - MIRROR LACKED cmd.exe LINEAGE. Ran the mirror commands directly from powershell.exe, while ART executes command_prompt tests as cmd.exe /c. Rules 92032 and 92052 both key on cmd.exe lineage (92032: parentImage=cmd.EXE + parentCommandLine containing ' /C '; 92052: originalFileName=cmd.EXE with non-explorer/cmd parent), so the classes were separable on the harness wrapper alone rather than on behaviour. Measured effect: T1082 146 attack alerts vs 1 benign, and that one was rule 60702 VSS idle timeout, unrelated. Attack parents were 75 cmd.exe / 70 powershell.exe; benign had zero cmd.exe. Mirrors fixed to route native CLI through cmd.exe /c; re-run supersedes this."
20260806-065653-benign-r2,benign,T1082,System Information Discovery,,2026-08-06 06:56:53,2026-08-06 06:57:04,baseline,interactive-admin,TRUE,"SUPERSEDED - MIRROR LACKED cmd.exe LINEAGE. Ran the mirror commands directly from powershell.exe, while ART executes command_prompt tests as cmd.exe /c. Rules 92032 and 92052 both key on cmd.exe lineage (92032: parentImage=cmd.EXE + parentCommandLine containing ' /C '; 92052: originalFileName=cmd.EXE with non-explorer/cmd parent), so the classes were separable on the harness wrapper alone rather than on behaviour. Measured effect: T1082 146 attack alerts vs 1 benign, and that one was rule 60702 VSS idle timeout, unrelated. Attack parents were 75 cmd.exe / 70 powershell.exe; benign had zero cmd.exe. Mirrors fixed to route native CLI through cmd.exe /c; re-run supersedes this."
20260806-065838-benign-r3,benign,T1082,System Information Discovery,,2026-08-06 06:58:38,2026-08-06 06:58:57,baseline,interactive-admin,TRUE,"SUPERSEDED - MIRROR LACKED cmd.exe LINEAGE. Ran the mirror commands directly from powershell.exe, while ART executes command_prompt tests as cmd.exe /c. Rules 92032 and 92052 both key on cmd.exe lineage (92032: parentImage=cmd.EXE + parentCommandLine containing ' /C '; 92052: originalFileName=cmd.EXE with non-explorer/cmd parent), so the classes were separable on the harness wrapper alone rather than on behaviour. Measured effect: T1082 146 attack alerts vs 1 benign, and that one was rule 60702 VSS idle timeout, unrelated. Attack parents were 75 cmd.exe / 70 powershell.exe; benign had zero cmd.exe. Mirrors fixed to route native CLI through cmd.exe /c; re-run supersedes this."
20260806-070017-benign-r4,benign,T1082,System Information Discovery,,2026-08-06 07:00:17,2026-08-06 07:00:39,baseline,interactive-admin,TRUE,"SUPERSEDED - MIRROR LACKED cmd.exe LINEAGE. Ran the mirror commands directly from powershell.exe, while ART executes command_prompt tests as cmd.exe /c. Rules 92032 and 92052 both key on cmd.exe lineage (92032: parentImage=cmd.EXE + parentCommandLine containing ' /C '; 92052: originalFileName=cmd.EXE with non-explorer/cmd parent), so the classes were separable on the harness wrapper alone rather than on behaviour. Measured effect: T1082 146 attack alerts vs 1 benign, and that one was rule 60702 VSS idle timeout, unrelated. Attack parents were 75 cmd.exe / 70 powershell.exe; benign had zero cmd.exe. Mirrors fixed to route native CLI through cmd.exe /c; re-run supersedes this."
20260806-070146-benign-r5,benign,T1082,System Information Discovery,,2026-08-06 07:12:24,2026-08-06 07:12:48,baseline,interactive-admin,TRUE,"SUPERSEDED - MIRROR LACKED cmd.exe LINEAGE. Ran the mirror commands directly from powershell.exe, while ART executes command_prompt tests as cmd.exe /c. Rules 92032 and 92052 both key on cmd.exe lineage (92032: parentImage=cmd.EXE + parentCommandLine containing ' /C '; 92052: originalFileName=cmd.EXE with non-explorer/cmd parent), so the classes were separable on the harness wrapper alone rather than on behaviour. Measured effect: T1082 146 attack alerts vs 1 benign, and that one was rule 60702 VSS idle timeout, unrelated. Attack parents were 75 cmd.exe / 70 powershell.exe; benign had zero cmd.exe. Mirrors fixed to route native CLI through cmd.exe /c; re-run supersedes this."
20260806-074607-benign-r1,benign,T1082,System Information Discovery,,2026-08-06 07:46:07,2026-08-06 07:46:35,baseline,interactive-admin,False,"SUPERSEDED - TWO CONFOUNDS. (1) defender_realtime_off=False: Defender re-enabled itself on the VM reboot, so the environment differed from the paired attack windows which had it off. (2) Mirror used `& cmd.exe /c` which resolves the full path, recording ""C:\Windows\system32\cmd.exe"" /c ... and firing rule 92004, while ART records ""cmd.exe"" /c ... and fires 92052 - 25 vs 67 with zero overlap, so rule ID alone still separated the classes. Superseded by the 08:17-08:24 run using Start-Process with a bare FilePath and & -chained commands."
20260806-074818-benign-r2,benign,T1082,System Information Discovery,,2026-08-06 07:48:18,2026-08-06 07:49:01,baseline,interactive-admin,False,"SUPERSEDED - TWO CONFOUNDS. (1) defender_realtime_off=False: Defender re-enabled itself on the VM reboot, so the environment differed from the paired attack windows which had it off. (2) Mirror used `& cmd.exe /c` which resolves the full path, recording ""C:\Windows\system32\cmd.exe"" /c ... and firing rule 92004, while ART records ""cmd.exe"" /c ... and fires 92052 - 25 vs 67 with zero overlap, so rule ID alone still separated the classes. Superseded by the 08:17-08:24 run using Start-Process with a bare FilePath and & -chained commands."
20260806-075036-benign-r3,benign,T1082,System Information Discovery,,2026-08-06 07:50:36,2026-08-06 07:51:01,baseline,interactive-admin,False,"SUPERSEDED - TWO CONFOUNDS. (1) defender_realtime_off=False: Defender re-enabled itself on the VM reboot, so the environment differed from the paired attack windows which had it off. (2) Mirror used `& cmd.exe /c` which resolves the full path, recording ""C:\Windows\system32\cmd.exe"" /c ... and firing rule 92004, while ART records ""cmd.exe"" /c ... and fires 92052 - 25 vs 67 with zero overlap, so rule ID alone still separated the classes. Superseded by the 08:17-08:24 run using Start-Process with a bare FilePath and & -chained commands."
20260806-075322-benign-r4,benign,T1082,System Information Discovery,,2026-08-06 07:53:22,2026-08-06 07:54:10,baseline,interactive-admin,False,"SUPERSEDED - TWO CONFOUNDS. (1) defender_realtime_off=False: Defender re-enabled itself on the VM reboot, so the environment differed from the paired attack windows which had it off. (2) Mirror used `& cmd.exe /c` which resolves the full path, recording ""C:\Windows\system32\cmd.exe"" /c ... and firing rule 92004, while ART records ""cmd.exe"" /c ... and fires 92052 - 25 vs 67 with zero overlap, so rule ID alone still separated the classes. Superseded by the 08:17-08:24 run using Start-Process with a bare FilePath and & -chained commands."
20260806-075709-benign-r5,benign,T1082,System Information Discovery,,2026-08-06 07:57:10,2026-08-06 07:58:34,baseline,interactive-admin,False,"SUPERSEDED - TWO CONFOUNDS. (1) defender_realtime_off=False: Defender re-enabled itself on the VM reboot, so the environment differed from the paired attack windows which had it off. (2) Mirror used `& cmd.exe /c` which resolves the full path, recording ""C:\Windows\system32\cmd.exe"" /c ... and firing rule 92004, while ART records ""cmd.exe"" /c ... and fires 92052 - 25 vs 67 with zero overlap, so rule ID alone still separated the classes. Superseded by the 08:17-08:24 run using Start-Process with a bare FilePath and & -chained commands."
20260806-080048-benign-r1,benign,T1087.001,Local Account Discovery,,2026-08-06 08:00:48,2026-08-06 08:00:59,custom,interactive-admin,False,"SUPERSEDED by the 09:51-10:11 pair. Reasons: the attack class had only 1 window against the benign class's 5, so counts were not comparable; and the benign windows were captured with Defender real-time protection ON (class-correlated confound) using the round-1 mirror, which invoked `& cmd.exe /c` and so recorded the resolved full path rather than ART's bare-name form. Retained as the record of those faults, not for analysis."
20260806-080359-benign-r2,benign,T1087.001,Local Account Discovery,,2026-08-06 08:03:59,2026-08-06 08:04:10,custom,interactive-admin,False,"SUPERSEDED by the 09:51-10:11 pair. Reasons: the attack class had only 1 window against the benign class's 5, so counts were not comparable; and the benign windows were captured with Defender real-time protection ON (class-correlated confound) using the round-1 mirror, which invoked `& cmd.exe /c` and so recorded the resolved full path rather than ART's bare-name form. Retained as the record of those faults, not for analysis."
20260806-080614-benign-r3,benign,T1087.001,Local Account Discovery,,2026-08-06 08:06:14,2026-08-06 08:06:25,custom,interactive-admin,False,"SUPERSEDED by the 09:51-10:11 pair. Reasons: the attack class had only 1 window against the benign class's 5, so counts were not comparable; and the benign windows were captured with Defender real-time protection ON (class-correlated confound) using the round-1 mirror, which invoked `& cmd.exe /c` and so recorded the resolved full path rather than ART's bare-name form. Retained as the record of those faults, not for analysis."
20260806-080802-benign-r4,benign,T1087.001,Local Account Discovery,,2026-08-06 08:08:02,2026-08-06 08:08:08,custom,interactive-admin,False,"SUPERSEDED by the 09:51-10:11 pair. Reasons: the attack class had only 1 window against the benign class's 5, so counts were not comparable; and the benign windows were captured with Defender real-time protection ON (class-correlated confound) using the round-1 mirror, which invoked `& cmd.exe /c` and so recorded the resolved full path rather than ART's bare-name form. Retained as the record of those faults, not for analysis."
20260806-080944-benign-r5,benign,T1087.001,Local Account Discovery,,2026-08-06 08:09:44,2026-08-06 08:09:54,custom,interactive-admin,False,"SUPERSEDED by the 09:51-10:11 pair. Reasons: the attack class had only 1 window against the benign class's 5, so counts were not comparable; and the benign windows were captured with Defender real-time protection ON (class-correlated confound) using the round-1 mirror, which invoked `& cmd.exe /c` and so recorded the resolved full path rather than ART's bare-name form. Retained as the record of those faults, not for analysis."
20260806-081744-benign-r1,benign,T1082,System Information Discovery,,2026-08-06 08:17:44,2026-08-06 08:18:07,baseline,interactive-admin,True,"Round 2 of the harness-fingerprint fix: Invoke-ViaCmd now uses Start-Process -FilePath 'cmd.exe' (bare name, reproducing ART's ""cmd.exe"" /c ... command-line form) with commands chained by & inside one cmd.exe, matching how the atomics are written. Defender confirmed OFF (defender_realtime_off=True), so the environment now matches the paired attack windows. VERIFY: benign should fire 92052 rather than 92004, and recorded commandLine strings should share the attack class's path form."
20260806-081908-benign-r2,benign,T1082,System Information Discovery,,2026-08-06 08:19:08,2026-08-06 08:19:16,baseline,interactive-admin,True,"Round 2 of the harness-fingerprint fix: Invoke-ViaCmd now uses Start-Process -FilePath 'cmd.exe' (bare name, reproducing ART's ""cmd.exe"" /c ... command-line form) with commands chained by & inside one cmd.exe, matching how the atomics are written. Defender confirmed OFF (defender_realtime_off=True), so the environment now matches the paired attack windows. VERIFY: benign should fire 92052 rather than 92004, and recorded commandLine strings should share the attack class's path form."
20260806-082104-benign-r3,benign,T1082,System Information Discovery,,2026-08-06 08:21:04,2026-08-06 08:21:27,baseline,interactive-admin,True,"Round 2 of the harness-fingerprint fix: Invoke-ViaCmd now uses Start-Process -FilePath 'cmd.exe' (bare name, reproducing ART's ""cmd.exe"" /c ... command-line form) with commands chained by & inside one cmd.exe, matching how the atomics are written. Defender confirmed OFF (defender_realtime_off=True), so the environment now matches the paired attack windows. VERIFY: benign should fire 92052 rather than 92004, and recorded commandLine strings should share the attack class's path form."
20260806-082254-benign-r4,benign,T1082,System Information Discovery,,2026-08-06 08:22:54,2026-08-06 08:23:09,baseline,interactive-admin,True,"Round 2 of the harness-fingerprint fix: Invoke-ViaCmd now uses Start-Process -FilePath 'cmd.exe' (bare name, reproducing ART's ""cmd.exe"" /c ... command-line form) with commands chained by & inside one cmd.exe, matching how the atomics are written. Defender confirmed OFF (defender_realtime_off=True), so the environment now matches the paired attack windows. VERIFY: benign should fire 92052 rather than 92004, and recorded commandLine strings should share the attack class's path form."
20260806-082433-benign-r5,benign,T1082,System Information Discovery,,2026-08-06 08:24:33,2026-08-06 08:24:41,baseline,interactive-admin,True,"Round 2 of the harness-fingerprint fix: Invoke-ViaCmd now uses Start-Process -FilePath 'cmd.exe' (bare name, reproducing ART's ""cmd.exe"" /c ... command-line form) with commands chained by & inside one cmd.exe, matching how the atomics are written. Defender confirmed OFF (defender_realtime_off=True), so the environment now matches the paired attack windows. VERIFY: benign should fire 92052 rather than 92004, and recorded commandLine strings should share the attack class's path form."
20260806-091713-attack-r1,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 09:17:13,2026-08-06 09:18:15,custom,atomic-red-team,True,"Captured AFTER custom rules 100230-100233 were deployed and verified firing (all four confirmed by smoke test, wazuh-analysisd -t clean). Defender OFF. Mirror uses cmd.exe /c with &-chained commands plus a child powershell.exe for cmdlets, matching ART's process lineage. This is the 'detected after' measurement; the 06:43-08:24 windows are the default-only baseline."
20260806-091909-attack-r2,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 09:19:09,2026-08-06 09:20:09,custom,atomic-red-team,True,"Captured AFTER custom rules 100230-100233 were deployed and verified firing (all four confirmed by smoke test, wazuh-analysisd -t clean). Defender OFF. Mirror uses cmd.exe /c with &-chained commands plus a child powershell.exe for cmdlets, matching ART's process lineage. This is the 'detected after' measurement; the 06:43-08:24 windows are the default-only baseline."
20260806-092238-attack-r3,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 09:22:38,2026-08-06 09:23:29,custom,atomic-red-team,True,"Captured AFTER custom rules 100230-100233 were deployed and verified firing (all four confirmed by smoke test, wazuh-analysisd -t clean). Defender OFF. Mirror uses cmd.exe /c with &-chained commands plus a child powershell.exe for cmdlets, matching ART's process lineage. This is the 'detected after' measurement; the 06:43-08:24 windows are the default-only baseline."
20260806-092426-attack-r4,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 09:24:26,2026-08-06 09:28:15,custom,atomic-red-team,True,"Captured AFTER custom rules 100230-100233 were deployed and verified firing (all four confirmed by smoke test, wazuh-analysisd -t clean). Defender OFF. Mirror uses cmd.exe /c with &-chained commands plus a child powershell.exe for cmdlets, matching ART's process lineage. This is the 'detected after' measurement; the 06:43-08:24 windows are the default-only baseline."
20260806-092955-attack-r5,attack,T1082,System Information Discovery,1;7;9;11;27;29;30;34;35;36;37;38;39;40,2026-08-06 09:29:55,2026-08-06 09:30:13,custom,atomic-red-team,True,"Captured AFTER custom rules 100230-100233 were deployed and verified firing (all four confirmed by smoke test, wazuh-analysisd -t clean). Defender OFF. Mirror uses cmd.exe /c with &-chained commands plus a child powershell.exe for cmdlets, matching ART's process lineage. This is the 'detected after' measurement; the 06:43-08:24 windows are the default-only baseline."
20260806-093158-benign-r1,benign,T1082,System Information Discovery,,2026-08-06 09:31:58,2026-08-06 09:32:17,custom,interactive-admin,True,"Captured AFTER custom rules 100230-100233 were deployed and verified firing (all four confirmed by smoke test, wazuh-analysisd -t clean). Defender OFF. Mirror uses cmd.exe /c with &-chained commands plus a child powershell.exe for cmdlets, matching ART's process lineage. This is the 'detected after' measurement; the 06:43-08:24 windows are the default-only baseline."
20260806-093349-benign-r2,benign,T1082,System Information Discovery,,2026-08-06 09:33:49,2026-08-06 09:34:02,custom,interactive-admin,True,"Captured AFTER custom rules 100230-100233 were deployed and verified firing (all four confirmed by smoke test, wazuh-analysisd -t clean). Defender OFF. Mirror uses cmd.exe /c with &-chained commands plus a child powershell.exe for cmdlets, matching ART's process lineage. This is the 'detected after' measurement; the 06:43-08:24 windows are the default-only baseline."
20260806-093559-benign-r3,benign,T1082,System Information Discovery,,2026-08-06 09:35:59,2026-08-06 09:36:13,custom,interactive-admin,True,"Captured AFTER custom rules 100230-100233 were deployed and verified firing (all four confirmed by smoke test, wazuh-analysisd -t clean). Defender OFF. Mirror uses cmd.exe /c with &-chained commands plus a child powershell.exe for cmdlets, matching ART's process lineage. This is the 'detected after' measurement; the 06:43-08:24 windows are the default-only baseline."
